name,price,weight,brand,link
Сыр Burenka Club Гойя 40% твердый 125 г,289руб/шт,125 г,Burenka Club,https://vkusvill.ru//goods/syr-burenka-club-goyya-40-tverdyy-125-g-104842.html
Сыр Mlekara Sabac A la Creme с черным перцем 65% мягкий 150 г,139руб/шт,150 г,Mlekara Sabac,https://vkusvill.ru//goods/syr-mlekara-sabac-a-la-creme-s-chernym-pertsem-65-myagkiy-150-g-50801.html
Сыр Foodland X-tra Fit 20% нарезка 125 г,169руб/шт,125 г,Foodland,https://vkusvill.ru//goods/syr-foodland-x-tra-fit-20-narezka-125-g-110348.html
Сыр Mlekara Sabac Сербская брынза Легкая 22% с рассолом 250 г,155руб/шт,250 г,Mlekara Sabac,https://vkusvill.ru//goods/syr-mlekara-sabac-serbskaya-brynza-legkaya-22-s-rassolom-250-g-108535.html
Сыр творожный Sveza Сливочный 60% 150 г,130руб/шт,150 г,Sveza,https://vkusvill.ru//goods/syr-tvorozhnyy-sveza-slivochnyy-60-150-g-68385.html
Сыр творожный Экомилк 60% 400 г,339руб/шт,400 г,ЭКОМИЛК,https://vkusvill.ru//goods/syr-tvorozhnyy-ekomilk-60-400-g-98480.html
Сыр Laime Пармезан 40% нарезка 125 г,369руб/шт,125 г,Laime,https://vkusvill.ru//goods/syr-laime-parmezan-40-narezka-125-g-105654.html
Сыр Mlekara Sabac А ла Каймак сливочный 70% мягкий 250 г,219руб/шт,250 г,Mlekara Sabac,https://vkusvill.ru//goods/syr-mlekara-sabac-a-la-kaymak-slivochnyy-70-myagkiy-250-g-50808.html
Сыр Oldenburger с лисичками 45% 350 г,399руб/шт,350 г,Oldenburger,https://vkusvill.ru//goods/syr-oldenburger-s-lisichkami-45-350-g-95902.html
Сыр Моцарелла протеиновая Unagrande в воде Чильеджина без лактозы 32% 100 г (масса нетто 180 г),149руб/шт,180 г,Unagrande,https://vkusvill.ru//goods/syr-motsarella-proteinovaya-unagrande-v-vode-chiledzhina-bez-laktozy-32-100-g-massa-netto-180-g-104151.html
Сыр Савушкин продукт Брест-Литовск Российский 50% нарезка 150 г,189руб/шт,150 г,Савушкин продукт,https://vkusvill.ru//goods/syr-savushkin-produkt-brest-litovsk-rossiyskiy-50-narezka-150-g-105329.html
Сыр Mlekara Sabac Сербская брынза 45% 220 г,249руб/шт,220 г,Mlekara Sabac,https://vkusvill.ru//goods/syr-mlekara-sabac-serbskaya-brynza-45-220-g-85011.html
Сыр Mlekara Sabac Сербская брынза Легкая 25% 250 г,209руб/шт,250 г (сыра - 220 г),Mlekara Sabac,https://vkusvill.ru//goods/syr-mlekara-sabac-serbskaya-brynza-legkaya-25-250-g-99571.html
Сыр Тысяча Озер Сливочный 50% полутвердый нарезка 125 г,191руб/шт,125 г,Нева милк,https://vkusvill.ru//goods/syr-tysyacha-ozer-slivochnyy-50-polutverdyy-narezka-125-g-56600.html
Сыр Николаевские сыроварни Костромской полутвердый 45% 180 г,267руб/шт,180 г,Николаевские сыроварни,https://vkusvill.ru//goods/syr-nikolaevskie-syrovarni-kostromskoy-polutverdyy-45-180-g-106396.html
