name,price,weight,brand,link
"Куриные котлеты Самокат, в сухарях, охлаждённые",219 ₽,270 г,,https://samokat.ru/product/fbe7556d-e360-42c7-a692-4e1c4ab47697
"Колбаски Ближние горки, Австрийские, из свинины, охлаждённые",249,400 г,,https://samokat.ru/product/0f6ea386-7692-11ef-b10b-08c0eb31fffb
"Колбаски Велком, Австрийские, для гриля",409,320 г,,https://samokat.ru/product/dc88539a-1189-499c-8f0a-f9fdc8f6d5a6
"Колбаски Барбекю Индилайт, из индейки, охлаждённые",289 ₽,350 г,,https://samokat.ru/product/8a697b58-05a1-11f0-aa23-be3af2b6059f
"Тефтели Индилайт, из индейки, охлаждённые",219 ₽,330 г,,https://samokat.ru/product/66c96405-eb64-11ea-8599-1c34dae33151
"Чевапчичи Мираторг Black Angus, из мраморной говядины, охлаждённые",325 ₽,300 г,,https://samokat.ru/product/3fde2587-fa98-11e8-80c5-0cc47a817925
"Колбаски Останкино, Мюнхенские",399,320 г,,https://samokat.ru/product/15eea1ef-fd98-11ef-a97a-be3af2b6059f
"Дижонские колбаски Слово мясника, с горчицей, охлаждённые",239,360 г,,https://samokat.ru/product/55b0a014-0ae2-11f0-a5cb-7cc255b74513
"Котлеты по-домашнему Слово мясника, Сливочные, свинина и говядина, охлаждённые",199 ₽,360 г,,https://samokat.ru/product/7ee7b01c-5865-11ee-b10a-08c0eb31fffb
"Куриный шницель Троекурово, из рубленного филе, охлаждённый",189 ₽,350 г,,https://samokat.ru/product/db5a5d3f-6f70-11ea-9786-0050560307be
"Куриные фрикадельки Троекурово, охлаждённые",199 ₽,300 г,,https://samokat.ru/product/c9995fef-0d5f-11eb-8599-1c34dae33151
"Фрикадельки Черкизово, Домашние, из свинины и говядины, охлаждённые",229 ₽,360 г,,https://samokat.ru/product/c6441875-fb11-11ea-8599-1c34dae33151
"Утиный окорочок Озёрка, охлаждённый",429 ₽,500 г,,https://samokat.ru/product/c03a887c-6bf5-11ed-885b-08c0eb32014b
"Филе спинки кролика Кролторг, охлаждённое",389 ₽,250 г,,https://samokat.ru/product/d080bc01-27c6-11ef-b10b-08c0eb31fffb
"Рукав для запекания Самокат с жаропрочными клипсами, 3 м",69 ₽,,,https://samokat.ru/product/fc802687-2ae9-11ee-ae78-08c0eb320147
